sim_num;has_ei;num_epochs;num_samples;seed;beginning_set_rounds;batch_size;disc_epochs;gen_epochs;loss_penalty;disc_bn_decay;gen_bn_decay;disc_leaky_param;z_size;critic;gen_l2_regularization;disc_l2_regularization;gen_learning_rate;disc_learning_rate;generator_hidden_sizes;discriminator_hidden_sizes;output_scaler;output_discriminator;output_generator;output_loss;output_rundata;model_started;lowest_dev;lowest_mae;lowest_rmse;epochs_ran;epoch_found
23.0;True;15000;500000;1;-1.0;500.0;2;2.0;5.0;0.0;0.01;0.1;100.0;False;0.0;0.0;0.001;0.001;100,100,100;100,100;./data/scalers/scaler23.pkl;./data/discriminators/discriminator_23;./data/generators/generator_23;./data/losses/loss_23;./data/rundata/rundatum23;Snellius;47.7626717830026;0.0610378129779376;0.2415939966947871;0.0;0.0
22.0;True;15000;500000;1;-1.0;500.0;2;2.0;5.0;0.0;0.5;0.1;100.0;False;0.0;0.0;0.001;0.001;100,100,100;100,100;./data/scalers/scaler22.pkl;./data/discriminators/discriminator_22;./data/generators/generator_22;./data/losses/loss_22;./data/rundata/rundatum22;Snellius;47.426892390028;0.0599007845810114;0.2415220428763268;2000.0;0.0
21.0;True;15000;500000;1;-1.0;500.0;2;2.0;5.0;0.0;0.75;0.1;100.0;False;0.0;0.0;0.001;0.001;100,100,100;100,100;./data/scalers/scaler21.pkl;./data/discriminators/discriminator_21;./data/generators/generator_21;./data/losses/loss_21;./data/rundata/rundatum21;Snellius;51.9073223546548;0.0582147149176249;0.2419035408479263;2000.0;0.0
20.0;True;15000;500000;1;-1.0;500.0;2;2.0;5.0;0.0;0.5;0.1;100.0;False;0.0;0.01;0.001;0.001;100,100,100;100,100;./data/scalers/scaler20.pkl;./data/discriminators/discriminator_20;./data/generators/generator_20;./data/losses/loss_20;./data/rundata/rundatum20;Snellius;96.9103421346242;0.0531822644923137;0.2429441444386661;2500.0;2500.0
19.0;True;15000;500000;1;-1.0;500.0;2;2.0;5.0;0.0;0.0;0.1;100.0;False;0.0;0.0;0.001;0.001;100,100,100;100,100;./data/scalers/scaler19.pkl;./data/discriminators/discriminator_19;./data/generators/generator_19;./data/losses/loss_19;./data/rundata/rundatum19;Snellius;84.2380228045109;0.0532850844674686;0.2429198723730468;2000.0;0.0
14.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.01;0.9;0.2;25.0;False;0.0;0.0;0.001;0.001;100,100,100;100;./data/scalers/scaler14.pkl;./data/discriminators/discriminator_14;./data/generators/generator_14;./data/losses/loss_14;./data/rundata/rundatum14;Snellius;70.0548658791145;0.0580826847123018;0.2448628510768391;2300.0;50.0
13.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.0;0.9;0.2;75.0;True;0.0;0.0;0.001;0.001;100,100,100;100;./data/scalers/scaler13.pkl;./data/discriminators/discriminator_13;./data/generators/generator_13;./data/losses/loss_13;./data/rundata/rundatum13;Snellius;42.6993246926858;0.1689128190343137;0.4517988878978541;10750.0;2400.0
12.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.0;0.9;0.2;50.0;True;0.0;0.0;0.001;0.001;100,100,100;100;./data/scalers/scaler12.pkl;./data/discriminators/discriminator_12;./data/generators/generator_12;./data/losses/loss_12;./data/rundata/rundatum12;Snellius;46.2619897868097;0.1269942380042275;0.2779495143675841;500.0;0.0
11.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.0;0.9;0.2;25.0;True;0.0;0.0;0.001;0.001;100,100,100;100;./data/scalers/scaler11.pkl;./data/discriminators/discriminator_11;./data/generators/generator_11;./data/losses/loss_11;./data/rundata/rundatum11;Snellius;42.8201447228969;0.1147509434850932;0.2694217571062966;500.0;4600.0
10.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.0;0.99;0.2;100.0;True;0.0;0.0;0.001;0.001;100,100,100;256,128;./data/scalers/scaler10.pkl;./data/discriminators/discriminator_10;./data/generators/generator_10;./data/losses/loss_10;./data/rundata/rundatum10;Snellius;;;;;
9.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.0;0.99;0.2;75.0;True;0.0;0.0;0.001;0.001;100,100,100;256,128;./data/scalers/scaler9.pkl;./data/discriminators/discriminator_9;./data/generators/generator_9;./data/losses/loss_9;./data/rundata/rundatum9;Snellius;40.9706222836097;0.168229467622563;0.2683853264711449;100.0;100.0
8.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.0;0.99;0.2;50.0;True;0.0;0.0;0.001;0.001;100,100,100;256,128;./data/scalers/scaler8.pkl;./data/discriminators/discriminator_8;./data/generators/generator_8;./data/losses/loss_8;./data/rundata/rundatum8;Snellius;;;;;
7.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.0;0.99;0.2;25.0;True;0.0;0.0;0.001;0.001;100,100,100;256,128;./data/scalers/scaler7.pkl;./data/discriminators/discriminator_7;./data/generators/generator_7;./data/losses/loss_7;./data/rundata/rundatum7;Snellius;;;;;
6.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.0;0.99;0.2;10.0;True;0.0;0.0;0.001;0.001;100,100,100;256,128;./data/scalers/scaler6.pkl;./data/discriminators/discriminator_6;./data/generators/generator_6;./data/losses/loss_6;./data/rundata/rundatum6;Snellius;;;;;
5.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.01;0.9;0.2;100.0;False;0.0;0.0;0.001;0.001;100,100,100;100;./data/scalers/scaler5.pkl;./data/discriminators/discriminator_5;./data/generators/generator_5;./data/losses/loss_5;./data/rundata/rundatum5;Snellius;;;;;
4.0;True;15000;500000;1;-1.0;100.0;2;1.0;10.0;0.01;0.9;0.2;75.0;False;0.0;0.0;0.001;0.001;100,100,100;100;./data/scalers/scaler4.pkl;./data/discriminators/discriminator_4;./data/generators/generator_4;./data/losses/loss_4;./data/rundata/rundatum4;Snellius;33.0429928119228;0.1013224374361711;0.2404428021658039;1318.0;2250.0
